,NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,WRIST,THUMB_CPC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,RING_FINGER_MCP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CPC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,RING_FINGER_MCP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2
0,"x: 532.95068359375
y: 1339.63671875
z: -0.0046721999533474445
","x: 535.9794311523438
y: 1283.3590087890625
z: -0.043858978897333145
","x: 536.0399780273438
y: 1287.7578125
z: -0.014955153688788414
","x: 532.7777099609375
y: 1172.595947265625
z: -0.046141404658555984
","x: 537.3428344726562
y: 1258.941162109375
z: -0.05062378942966461
","x: 539.755615234375
y: 1216.2197265625
z: -0.05256931483745575
","x: 546.4525146484375
y: 1092.5540771484375
z: -0.045348819345235825
","x: 472.1015319824219
y: 999.2693481445312
z: -0.011076075956225395
","x: 551.8378295898438
y: 992.2783813476562
z: -0.05094076320528984
","x: 554.073974609375
y: 946.1278076171875
z: -0.05972728133201599
","x: 565.1746215820312
y: 744.019775390625
z: -0.07657083868980408
","x: 532.3797607421875
y: 1350.470458984375
z: -0.0015563522465527058
","x: 532.0004272460938
y: 1357.403076171875
z: 0.0028079277835786343
","x: 532.0009765625
y: 1357.9459228515625
z: 0.00782424584031105
","x: 531.9737548828125
y: 1365.917236328125
z: 0.01470440998673439
","x: 531.2103881835938
y: 1379.3355712890625
z: 0.015199579298496246
","x: 530.2387084960938
y: 1394.79296875
z: 0.01559825986623764
","x: 529.31884765625
y: 1408.4295654296875
z: 0.019743366166949272
","x: 528.5916137695312
y: 1421.8228759765625
z: 0.03192012757062912
","x: 535.766845703125
y: 1289.945556640625
z: -0.03736736625432968
","x: 527.1712646484375
y: 1273.2044677734375
z: -0.024139493703842163
","x: 444.06829833984375
y: 773.6168212890625
z: 0.01050043199211359
","x: 503.9629211425781
y: 1048.140869140625
z: -0.018077604472637177
","x: 493.06304931640625
y: 1044.8271484375
z: -0.01652776636183262
","x: 482.34088134765625
y: 1034.8323974609375
z: -0.013789605349302292
","x: 468.3706359863281
y: 998.3333740234375
z: -0.007405542768537998
","x: 512.5614624023438
y: 1045.98095703125
z: -0.017648564651608467
","x: 488.3232116699219
y: 952.0711669921875
z: -0.03020087070763111
","x: 500.42633056640625
y: 963.3191528320312
z: -0.031108656898140907
","x: 477.3171081542969
y: 948.143310546875
z: -0.025672435760498047
","x: 470.23614501953125
y: 952.8701782226562
z: -0.02062292955815792
","x: 460.5210266113281
y: 1004.33740234375
z: 2.1745587218902074e-05
","x: 494.8285217285156
y: 1418.5244140625
z: 0.051187384873628616
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"x: 533.227294921875
y: 1313.1807861328125
z: -0.008092554286122322
","x: 536.8314819335938
y: 1255.64794921875
z: -0.04354410991072655
","x: 536.4669799804688
y: 1264.346435546875
z: -0.015680212527513504
","x: 533.9613647460938
y: 1151.9329833984375
z: -0.04389622062444687
","x: 538.2818603515625
y: 1231.322265625
z: -0.04976596310734749
","x: 540.6234741210938
y: 1191.228759765625
z: -0.05086338147521019
","x: 547.1307373046875
y: 1080.6968994140625
z: -0.041371285915374756
","x: 475.1453552246094
y: 999.7399291992188
z: -0.00824541226029396
","x: 552.3194580078125
y: 988.302978515625
z: -0.04587812349200249
","x: 554.689453125
y: 945.159912109375
z: -0.05398872122168541
","x: 564.502685546875
y: 776.310302734375
z: -0.06762753427028656
","x: 532.6216430664062
y: 1323.4609375
z: -0.005411173216998577
","x: 532.2534790039062
y: 1330.1845703125
z: -0.0011585649335756898
","x: 532.2196044921875
y: 1331.36328125
z: 0.003765281056985259
","x: 531.9821166992188
y: 1342.864501953125
z: 0.010052758269011974
","x: 531.1925048828125
y: 1355.5262451171875
z: 0.010387007147073746
","x: 530.3157958984375
y: 1370.1563720703125
z: 0.010967988520860672
","x: 529.528076171875
y: 1383.3095703125
z: 0.015375608578324318
","x: 528.791748046875
y: 1395.994140625
z: 0.028229258954524994
","x: 536.4512329101562
y: 1263.4298095703125
z: -0.0373024046421051
","x: 528.3827514648438
y: 1248.59521484375
z: -0.02451508864760399
","x: 445.57843017578125
y: 808.5064697265625
z: 0.016639715060591698
","x: 505.40283203125
y: 1048.40625
z: -0.01560843177139759
","x: 494.6772766113281
y: 1044.596435546875
z: -0.014168046414852142
","x: 484.3941955566406
y: 1034.4903564453125
z: -0.011460643261671066
","x: 471.673583984375
y: 1001.2578735351562
z: -0.004815051797777414
","x: 514.0565185546875
y: 1046.183349609375
z: -0.014994685538113117
","x: 491.29345703125
y: 957.8209228515625
z: -0.026494765654206276
","x: 502.85400390625
y: 968.7047119140625
z: -0.027356617152690887
","x: 480.8486633300781
y: 954.256103515625
z: -0.022110693156719208
","x: 473.9731750488281
y: 958.8131103515625
z: -0.017177699133753777
","x: 463.392822265625
y: 1008.878662109375
z: 0.002319077029824257
","x: 495.4067687988281
y: 1394.03662109375
z: 0.0446498841047287
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"x: 532.7415771484375
y: 1311.7982177734375
z: -0.0076156482100486755
","x: 536.1913452148438
y: 1255.3525390625
z: -0.04355243220925331
","x: 535.8179321289062
y: 1263.4349365234375
z: -0.01522113848477602
","x: 532.9786987304688
y: 1154.1734619140625
z: -0.044563181698322296
","x: 537.564453125
y: 1232.0592041015625
z: -0.04999629408121109
","x: 539.8091430664062
y: 1193.0830078125
z: -0.051286548376083374
","x: 546.156982421875
y: 1084.626220703125
z: -0.04249219596385956
","x: 472.8409729003906
y: 998.9974365234375
z: -0.009565187618136406
","x: 551.3927001953125
y: 993.5969848632812
z: -0.047693535685539246
","x: 553.7735595703125
y: 951.12451171875
z: -0.0562334805727005
","x: 563.3704833984375
y: 780.92041015625
z: -0.07100412994623184
","x: 532.18701171875
y: 1321.8160400390625
z: -0.004815653897821903
","x: 531.83984375
y: 1328.4197998046875
z: -0.000419008283643052
","x: 531.7918701171875
y: 1329.6558837890625
z: 0.004643544089049101
","x: 531.4137573242188
y: 1341.28955078125
z: 0.011116649024188519
","x: 530.6534423828125
y: 1353.65966796875
z: 0.011583979241549969
","x: 529.8370971679688
y: 1367.96728515625
z: 0.012406351044774055
","x: 529.1497192382812
y: 1380.6314697265625
z: 0.017188364639878273
","x: 528.5933227539062
y: 1391.0836181640625
z: 0.03065217286348343
","x: 535.819091796875
y: 1262.5430908203125
z: -0.0371849462389946
","x: 527.7510375976562
y: 1247.5198974609375
z: -0.024293500930070877
","x: 442.922119140625
y: 805.7832641601562
z: 0.014473352581262589
","x: 503.5129699707031
y: 1048.2239990234375
z: -0.01674288511276245
","x: 492.7233581542969
y: 1044.274658203125
z: -0.015305467881262302
","x: 482.3280944824219
y: 1033.98095703125
z: -0.012592589482665062
","x: 469.37420654296875
y: 999.9366455078125
z: -0.006037710700184107
","x: 512.1883544921875
y: 1046.206787109375
z: -0.01607893593609333
","x: 489.2342834472656
y: 959.6017456054688
z: -0.028219521045684814
","x: 500.77056884765625
y: 970.9965209960938
z: -0.029066555202007294
","x: 478.8133239746094
y: 954.9866943359375
z: -0.023790229111909866
","x: 471.9112243652344
y: 958.5997924804688
z: -0.018804017454385757
","x: 461.0544128417969
y: 1007.0385131835938
z: 0.0011809607967734337
","x: 495.0035400390625
y: 1386.618408203125
z: 0.0470254011452198
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"x: 532.819580078125
y: 1313.119140625
z: -0.007566824089735746
","x: 536.2313842773438
y: 1254.591552734375
z: -0.043326981365680695
","x: 535.9402465820312
y: 1263.0701904296875
z: -0.015182707458734512
","x: 533.2175903320312
y: 1152.87939453125
z: -0.044365886598825455
","x: 537.641357421875
y: 1231.097900390625
z: -0.04972478747367859
","x: 539.9278564453125
y: 1191.8955078125
z: -0.05103036388754845
","x: 546.3696899414062
y: 1083.0980224609375
z: -0.04226067662239075
","x: 474.11077880859375
y: 997.14697265625
z: -0.009806782938539982
","x: 551.7640991210938
y: 991.55859375
z: -0.04742450267076492
","x: 554.2572631835938
y: 948.8619995117188
z: -0.0558958575129509
","x: 564.243408203125
y: 778.4744873046875
z: -0.07058284431695938
","x: 532.2529907226562
y: 1323.3599853515625
z: -0.0048032538034021854
","x: 531.8632202148438
y: 1329.9693603515625
z: -0.00042783471872098744
","x: 531.7821655273438
y: 1331.0584716796875
z: 0.004590778145939112
","x: 531.4205322265625
y: 1342.50732421875
z: 0.010965513996779919
","x: 530.6321411132812
y: 1355.149658203125
z: 0.01144009456038475
","x: 529.7747802734375
y: 1369.70751953125
z: 0.012242577038705349
","x: 529.0305786132812
y: 1382.5543212890625
z: 0.016972852870821953
","x: 528.3570556640625
y: 1392.92041015625
z: 0.030337339267134666
","x: 535.8798828125
y: 1261.8486328125
z: -0.03700028732419014
","x: 527.9697265625
y: 1246.977783203125
z: -0.024225523695349693
","x: 444.1584777832031
y: 803.3299560546875
z: 0.013882267288863659
","x: 504.3782043457031
y: 1047.0013427734375
z: -0.016780996695160866
","x: 493.67193603515625
y: 1042.917236328125
z: -0.015396893955767155
","x: 483.3580017089844
y: 1032.496826171875
z: -0.012758564203977585
","x: 470.59259033203125
y: 998.2384033203125
z: -0.00630157720297575
","x: 513.0317993164062
y: 1045.098876953125
z: -0.016123546287417412
","x: 490.45556640625
y: 957.1065063476562
z: -0.028286030516028404
","x: 501.9060363769531
y: 968.5550537109375
z: -0.029073406010866165
","x: 480.0700988769531
y: 952.7081909179688
z: -0.023912692442536354
","x: 473.1852111816406
y: 956.5626831054688
z: -0.01897134818136692
","x: 462.1891784667969
y: 1005.5362548828125
z: 0.0008709548274055123
","x: 494.9766845703125
y: 1387.836181640625
z: 0.046638499945402145
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"x: 533.0408935546875
y: 1312.092529296875
z: -0.007498165592551231
","x: 536.2030639648438
y: 1252.6865234375
z: -0.04316791146993637
","x: 536.016357421875
y: 1261.352294921875
z: -0.015016339719295502
","x: 533.0466918945312
y: 1152.35498046875
z: -0.04426458105444908
","x: 537.5269165039062
y: 1229.5787353515625
z: -0.049598224461078644
","x: 539.7531127929688
y: 1190.962890625
z: -0.050929032266139984
","x: 546.1163330078125
y: 1083.123046875
z: -0.04230043292045593
","x: 473.807861328125
y: 996.7532958984375
z: -0.009587676264345646
","x: 551.5054321289062
y: 991.657470703125
z: -0.04755968600511551
","x: 553.9573974609375
y: 949.0391235351562
z: -0.056111861020326614
","x: 563.9163208007812
y: 778.39111328125
z: -0.07097926735877991
","x: 532.5032348632812
y: 1322.23486328125
z: -0.004724052734673023
","x: 532.1591186523438
y: 1328.7628173828125
z: -0.00031765762832947075
","x: 532.0872192382812
y: 1329.8724365234375
z: 0.0047149816527962685
","x: 531.8065185546875
y: 1340.8021240234375
z: 0.011183533817529678
","x: 531.0319213867188
y: 1353.245361328125
z: 0.011670268140733242
","x: 530.1913452148438
y: 1367.595947265625
z: 0.012531563639640808
","x: 529.4779052734375
y: 1380.168701171875
z: 0.01733870804309845
","x: 528.8378295898438
y: 1390.384765625
z: 0.030797604471445084
","x: 535.8948974609375
y: 1259.8035888671875
z: -0.036832377314567566
","x: 528.1862182617188
y: 1245.2303466796875
z: -0.024025077000260353
","x: 444.281005859375
y: 802.4863891601562
z: 0.01416198629885912
","x: 504.1375427246094
y: 1046.9610595703125
z: -0.016716454178094864
","x: 493.40753173828125
y: 1042.9217529296875
z: -0.015269393101334572
","x: 483.1044921875
y: 1032.399658203125
z: -0.01256365142762661
","x: 470.407958984375
y: 997.77490234375
z: -0.0060582649894058704
","x: 512.8143920898438
y: 1044.98095703125
z: -0.016079628840088844
","x: 490.17218017578125
y: 956.5784912109375
z: -0.02815995179116726
","x: 501.6591491699219
y: 968.2058715820312
z: -0.02904244139790535
","x: 479.78631591796875
y: 952.037841796875
z: -0.023733118548989296
","x: 472.912109375
y: 955.84765625
z: -0.018780894577503204
","x: 462.1291198730469
y: 1005.0091552734375
z: 0.00116497534327209
","x: 495.6221618652344
y: 1385.340087890625
z: 0.04717487469315529
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"x: 532.8641967773438
y: 1311.2998046875
z: -0.007639456074684858
","x: 535.910888671875
y: 1251.5340576171875
z: -0.043238066136837006
","x: 535.8421630859375
y: 1260.332763671875
z: -0.01514758076518774
","x: 532.848388671875
y: 1151.04296875
z: -0.044155362993478775
","x: 537.2216796875
y: 1228.33642578125
z: -0.04963522031903267
","x: 539.4741821289062
y: 1189.64794921875
z: -0.05092223361134529
","x: 545.9415283203125
y: 1081.7437744140625
z: -0.042152125388383865
","x: 474.11517333984375
y: 995.7482299804688
z: -0.008994593285024166
","x: 551.2647094726562
y: 991.0541381835938
z: -0.047295406460762024
","x: 553.6759643554688
y: 948.5643920898438
z: -0.05577310547232628
","x: 563.6572875976562
y: 776.6763916015625
z: -0.07027659565210342
","x: 532.3343505859375
y: 1321.4603271484375
z: -0.004879987798631191
","x: 532.0150756835938
y: 1327.9676513671875
z: -0.0004994086921215057
","x: 531.9732055664062
y: 1329.036376953125
z: 0.00452846847474575
","x: 531.724365234375
y: 1339.95556640625
z: 0.0109825748950243
","x: 530.9627685546875
y: 1352.27783203125
z: 0.011434354819357395
","x: 530.1432495117188
y: 1366.4971923828125
z: 0.01224033534526825
","x: 529.4450073242188
y: 1378.9892578125
z: 0.01696181111037731
","x: 528.85498046875
y: 1389.2681884765625
z: 0.030279258266091347
","x: 535.6256103515625
y: 1258.697998046875
z: -0.03692427650094032
","x: 527.9558715820312
y: 1244.1343994140625
z: -0.024083036929368973
","x: 444.7225341796875
y: 801.8331298828125
z: 0.01512063667178154
","x: 504.246826171875
y: 1045.8193359375
z: -0.016255447641015053
","x: 493.57568359375
y: 1041.7525634765625
z: -0.014788041822612286
","x: 483.32440185546875
y: 1031.2694091796875
z: -0.012056518346071243
","x: 470.7166442871094
y: 996.8807373046875
z: -0.005494378041476011
","x: 512.8834228515625
y: 1043.8828125
z: -0.01568463444709778
","x: 490.3476257324219
y: 956.0932006835938
z: -0.027559060603380203
","x: 501.7957458496094
y: 967.5333251953125
z: -0.02848776802420616
","x: 480.0163879394531
y: 951.6257934570312
z: -0.02313171699643135
","x: 473.19403076171875
y: 955.3861694335938
z: -0.01816128008067608
","x: 462.4239196777344
y: 1004.1416015625
z: 0.0017030093586072326
","x: 495.7735595703125
y: 1384.613525390625
z: 0.04675613343715668
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"x: 532.9653930664062
y: 1311.861572265625
z: -0.007539089769124985
","x: 535.6638793945312
y: 1251.978271484375
z: -0.04330756142735481
","x: 535.7525634765625
y: 1260.7860107421875
z: -0.015167727135121822
","x: 532.5154418945312
y: 1151.2939453125
z: -0.04428629204630852
","x: 536.9209594726562
y: 1228.736328125
z: -0.049728136509656906
","x: 539.1338500976562
y: 1189.9927978515625
z: -0.05105045810341835
","x: 545.5684814453125
y: 1081.83154296875
z: -0.042341891676187515
","x: 473.89617919921875
y: 995.2673950195312
z: -0.009048813953995705
","x: 550.8902587890625
y: 990.7489013671875
z: -0.04752775654196739
","x: 553.2802734375
y: 948.1804809570312
z: -0.05603180080652237
","x: 563.2069702148438
y: 776.3472900390625
z: -0.07069871574640274
","x: 532.4697875976562
y: 1322.0518798828125
z: -0.00476042227819562
","x: 532.170166015625
y: 1328.5975341796875
z: -0.00038071576273068786
","x: 532.1348876953125
y: 1329.6541748046875
z: 0.004659220110625029
","x: 531.9326171875
y: 1340.8253173828125
z: 0.011214492842555046
","x: 531.181396484375
y: 1353.31787109375
z: 0.011671575717628002
","x: 530.3803100585938
y: 1367.6124267578125
z: 0.012487913481891155
","x: 529.6936645507812
y: 1380.1524658203125
z: 0.017220431938767433
","x: 529.1417846679688
y: 1389.993896484375
z: 0.03054230473935604
","x: 535.4241333007812
y: 1259.17333984375
z: -0.03698277100920677
","x: 527.7576904296875
y: 1244.56396484375
z: -0.02412358485162258
","x: 444.7204284667969
y: 801.3526611328125
z: 0.015058819204568863
","x: 504.0423278808594
y: 1045.55615234375
z: -0.01634245179593563
","x: 493.3716735839844
y: 1041.44677734375
z: -0.014853599481284618
","x: 483.1274719238281
y: 1030.9674072265625
z: -0.01210513524711132
","x: 470.51959228515625
y: 996.4063720703125
z: -0.005518684629350901
","x: 512.662841796875
y: 1043.6878662109375
z: -0.015792278572916985
","x: 490.1261291503906
y: 955.3798828125
z: -0.02767486497759819
","x: 501.6115417480469
y: 966.9638671875
z: -0.02862265147268772
","x: 479.76385498046875
y: 950.852294921875
z: -0.023221543058753014
","x: 472.9404602050781
y: 954.64501953125
z: -0.018219105899333954
","x: 462.27239990234375
y: 1003.8239135742188
z: 0.0017084135906770825
","x: 496.1792907714844
y: 1384.426513671875
z: 0.04715977609157562
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
